"id","year","make","model","trim1","trim2"
"0004d4463b50","2014","Acura","TL","TL","w/SE"
"00087a6bd4dc","2014","Acura","RLX","RLX","w/Tech"
"000aa097d423","2012","Mazda","MAZDA6","MAZDA6","i Sport"
"000f19f6e7d4","2016","Chevrolet","Camaro","Camaro","SS"
"00144e887ae9","2015","Acura","TLX","TLX","SH-AWD V6 w/Advance Pkg"
"001a04be361e","2014","BMW","3 Series","3 Series","320i"
"002a1d2005bb","2014","BMW","X1","X1","xDrive28i"
"002b362dee46","2014","Chevrolet","Volt","Volt","Premium"
"00322b309335","2013","BMW","1 Series","1 Series","128i w/ Premium Pkg"
"004b030cf28f","2013","Honda","Civic","Civic","LX"
"006c1e464047","2014","Buick","Verano","Verano","Leather Group"
"0072f74f24ca","2013","Kia","Optima","Optima","LX"
"0075b9ff9bca","2013","Mazda","CX-9","CX-9","Sport"
"00784b3ef435","2013","Kia","Sorento","Sorento","SX"
"007da964b668","2014","Toyota","Highlander","Highlander","Limited"
"008d02b91746","2015","Mazda","CX-9","CX-9","Touring"
"0091c5ec5d3d","2014","Toyota","Camry","Camry","SE"
"0092275fcc63","2013","Hyundai","Sonata","Sonata","Limited"
"009c97ec3729","2014","Nissan","Sentra","Sentra","S"
"00ad56bf7ee6","2013","Acura","ILX","ILX","2.0L w/Tech Pkg"
"00afb946a54c","2016","Nissan","Rogue","Rogue","S"
"00b6aee52419","2013","Kia","Sorento","Sorento","EX"
"00c07d49f4c5","2014","Toyota","Corolla","Corolla","L"
"00d3de919651","2014","Chevrolet","Volt","Volt","Premium"
"00ea6d495e8f","2013","FIAT","500e","500e","Base"
"00ea92389675","2012","Hyundai","Tucson","Tucson","GLS"
"00f145d0d769","2012","Mazda","MAZDA6","MAZDA6","i Sport"
"00fb5d5806c7","2013","Chrysler","300","300","S"
"011330127438","2013","Nissan","LEAF","LEAF","S"
"014548a9586a","2016","Kia","Sedona","Sedona","LX"
"014baba60b16","2013","INFINITI","JX35","JX35","Base W/ Premium Pkg"
"014ed535be38","2015","Chrysler","200","200","Limited"
"01540106ee74","2013","Honda","Accord","Accord","EX"
"015d98226195","2013","Toyota","Tacoma","Tacoma","PreRunner"
"0179cf3ecd9f","2014","Chevrolet","Volt","Volt","Base"
"018f26e4d1aa","2014","Ford","Escape","Escape","SE"
"018f8ea7b4fa","2014","Chevrolet","Volt","Volt","Premium"
"019bbd45b0ac","2013","Volkswagen","Jetta","Jetta","SE PZEV"
"01aaf972cc52","2015","Nissan","Altima","Altima","2.5 SL"
"01c4dca94aeb","2013","Honda","CR-V","CR-V","LX"
"01d0c99fb9f4","2013","Chevrolet","Volt","Volt","Premium"
"01d27b68b874","2015","Chevrolet","Trax","Trax","LT"
"01d8e294f6ad","2012","Chevrolet","Equinox","Equinox","LS"
"01e1607c8bc1","2015","Hyundai","Accent","Accent","GLS"
"01e399a960a2","2015","Toyota","RAV4","RAV4","XLE"
"01e3ec4fcef2","2014","Ford","Focus","Focus","SE"
"01e78e4bb8be","2013","Kia","Soul","Soul","Base"
"0200a09f1566","2014","FIAT","500e","500e","Base"
"0209e280ff6b","2014","Volkswagen","Passat","Passat","Wolfsburg Edition PZEV"
"020d1dd32756","2014","Honda","Accord","Accord","Sport"
"02159e548029","2009","Nissan","cube","cube","1.8 S"
"0217e1bd45b9","2014","Dodge","Grand Caravan","Grand Caravan","R/T"
"021cc8a57675","2015","Jeep","Wrangler Unlimited","Wrangler Unlimited","Sport"
